ep,seed,reward,floor_reached,victory,turns,cards_played,final_hp,final_san
590,20590,68.05,10,True,14,39,26,23
591,20591,61.54999999999999,10,True,16,40,26,14
592,20592,62.399999999999984,10,True,14,52,28,19
593,20593,33.39,10,False,18,50,-1,30
594,20594,62.80000000000001,10,True,10,35,13,27
595,20595,62.350000000000044,10,True,19,57,35,5
596,20596,30.35000000000002,10,False,16,46,-9,6
597,20597,34.54999999999998,10,False,18,58,-4,18
598,20598,65.0,10,True,16,52,32,26
599,20599,63.55,10,True,17,46,10,27
600,20600,34.250000000000014,10,False,18,52,-3,16
601,20601,65.44999999999999,10,True,22,57,9,22
602,20602,33.710000000000015,10,False,15,45,-6,20
603,20603,61.400000000000006,10,True,16,45,4,8
604,20604,62.30999999999999,10,True,17,47,12,19
605,20605,25.100000000000023,8,False,15,45,-2,16
606,20606,70.04999999999998,10,True,27,79,13,26
607,20607,22.900000000000013,8,False,11,33,-5,28
608,20608,34.0,10,False,13,46,-4,14
609,20609,63.81000000000002,10,True,14,44,21,23
610,20610,31.149999999999974,10,False,18,52,-10,20
611,20611,62.85000000000002,10,True,13,44,29,8
612,20612,30.050000000000004,10,False,14,39,-12,16
613,20613,58.87999999999999,10,True,12,41,5,20
614,20614,32.589999999999996,10,False,17,48,-1,22
615,20615,60.160000000000025,10,True,17,59,13,1
616,20616,31.150000000000027,10,False,23,64,-4,12
617,20617,63.649999999999984,10,True,15,49,27,22
618,20618,61.90000000000003,10,True,14,46,19,10
619,20619,36.32999999999996,10,False,21,53,-1,28
620,20620,60.599999999999994,10,True,14,44,7,22
621,20621,63.60000000000001,10,True,16,44,14,16
622,20622,64.6,10,True,9,37,38,26
623,20623,32.879999999999995,10,False,17,50,-10,18
624,20624,61.230000000000004,10,True,14,39,3,13
625,20625,34.10000000000002,10,False,22,51,16,0
626,20626,66.19999999999996,10,True,19,62,15,21
627,20627,34.35,10,False,18,48,-10,15
628,20628,61.55000000000002,10,True,14,44,7,8
629,20629,32.679999999999986,10,False,16,52,-4,18
630,20630,64.2,10,True,17,47,10,30
631,20631,61.15000000000002,10,True,15,45,15,10
632,20632,33.39999999999999,10,False,19,56,-11,26
633,20633,33.44999999999999,10,False,17,44,-12,21
634,20634,60.69999999999999,10,True,15,48,11,20
635,20635,63.579999999999984,10,True,14,50,10,30
636,20636,34.02999999999999,10,False,19,47,-8,30
637,20637,63.89999999999999,10,True,14,40,2,20
638,20638,35.76000000000002,10,False,22,58,-10,14
639,20639,63.55,10,True,20,50,15,13
640,20640,34.95,10,False,19,55,-3,30
641,20641,35.050000000000004,10,False,15,48,-2,30
642,20642,34.10000000000001,10,False,16,43,-4,26
643,20643,62.70000000000002,10,True,18,52,35,11
644,20644,62.79999999999998,10,True,18,55,5,23
645,20645,36.10000000000001,10,False,20,52,-4,22
646,20646,35.28,10,False,18,52,-5,17
647,20647,33.680000000000035,10,False,22,57,-8,20
648,20648,64.25,10,True,22,57,1,23
649,20649,60.599999999999994,10,True,13,47,1,7
650,20650,63.400000000000006,10,True,20,57,4,15
651,20651,61.849999999999994,10,True,18,55,6,22
652,20652,30.840000000000018,10,False,18,53,-8,16
653,20653,66.95999999999995,10,True,26,59,9,19
654,20654,62.349999999999994,10,True,15,42,23,17
655,20655,62.26,10,True,14,39,24,17
656,20656,62.62999999999997,10,True,20,56,23,15
657,20657,33.000000000000014,10,False,15,49,-5,25
658,20658,62.06,10,True,14,46,30,11
659,20659,35.180000000000035,10,False,17,48,1,0
660,20660,61.12000000000002,10,True,14,44,22,4
661,20661,65.78999999999998,10,True,20,50,26,23
662,20662,63.79999999999999,10,True,19,43,38,14
663,20663,61.740000000000016,10,True,20,53,3,3
664,20664,30.65,10,False,16,43,-3,21
665,20665,64.07000000000001,10,True,16,45,21,23
666,20666,61.55000000000003,10,True,13,40,8,8
667,20667,62.05,10,True,13,43,16,23
668,20668,34.65000000000003,10,False,21,58,-2,10
669,20669,61.67,10,True,17,52,22,15
670,20670,63.05000000000001,10,True,19,55,20,16
671,20671,29.100000000000026,9,False,16,43,31,-1
672,20672,34.08999999999998,10,False,21,49,-1,15
673,20673,62.16999999999999,10,True,22,60,12,26
674,20674,31.30000000000001,10,False,15,45,-1,22
675,20675,22.85000000000001,8,False,5,26,50,0
676,20676,30.50000000000002,10,False,10,38,-2,14
677,20677,67.14999999999999,10,True,16,44,10,30
678,20678,34.100000000000016,10,False,14,39,-13,12
679,20679,66.54999999999998,10,True,19,52,12,29
680,20680,30.159999999999982,10,False,17,47,-9,19
681,20681,33.55,10,False,16,48,-12,30
682,20682,32.34999999999998,10,False,13,39,-1,26
683,20683,30.659999999999986,10,False,14,49,0,20
684,20684,64.43,10,True,15,46,19,11
685,20685,64.55000000000001,10,True,15,46,33,26
686,20686,62.14999999999999,10,True,19,47,11,10
687,20687,63.860000000000014,10,True,20,53,19,13
688,20688,34.34999999999999,10,False,22,58,-6,20
689,20689,66.48000000000002,10,True,22,56,25,30
690,20690,61.05999999999999,10,True,16,41,11,21
691,20691,33.65000000000003,10,False,18,51,-1,12
692,20692,64.09999999999998,10,True,18,54,3,22
693,20693,33.14000000000001,10,False,23,62,-2,22
694,20694,32.56000000000001,10,False,18,48,-9,11
695,20695,63.97999999999999,10,True,15,40,18,25
696,20696,33.649999999999984,10,False,14,47,-6,30
697,20697,63.65000000000001,10,True,13,34,12,21
698,20698,63.89999999999998,10,True,17,49,26,30
699,20699,36.0,10,False,17,49,-9,30
700,20700,62.700000000000024,10,True,14,52,14,12
701,20701,63.94,10,True,19,54,15,27
702,20702,32.24999999999999,10,False,15,47,-13,26
703,20703,31.42999999999997,10,False,15,50,0,23
704,20704,61.91,10,True,17,44,22,12
705,20705,24.850000000000044,8,False,17,53,35,-1
706,20706,33.68999999999999,10,False,20,49,-6,27
707,20707,60.749999999999986,10,True,13,40,2,24
708,20708,64.74,10,True,16,49,30,25
709,20709,63.52999999999997,10,True,13,42,15,24
710,20710,65.59999999999998,10,True,18,48,9,25
711,20711,64.64999999999999,10,True,18,42,22,22
712,20712,33.949999999999996,10,False,12,42,-2,29
713,20713,34.26000000000002,10,False,18,56,-1,18
714,20714,33.54999999999998,10,False,19,45,-8,30
715,20715,61.2,10,True,14,44,17,4
716,20716,34.80000000000002,10,False,19,53,0,16
717,20717,35.5,10,False,20,58,-8,30
718,20718,33.83000000000001,10,False,17,52,-1,12
719,20719,64.29999999999997,10,True,19,57,8,28
720,20720,33.80999999999999,10,False,17,52,0,23
721,20721,60.449999999999996,10,True,10,36,43,4
722,20722,62.849999999999994,10,True,16,51,24,14
723,20723,31.099999999999987,10,False,18,49,-12,24
724,20724,32.70000000000001,10,False,16,46,-19,11
725,20725,31.450000000000017,10,False,15,45,-3,28
726,20726,65.49999999999997,10,True,15,48,3,30
727,20727,65.3,10,True,18,54,33,21
728,20728,63.44999999999999,10,True,11,39,42,22
729,20729,31.500000000000032,10,False,16,45,8,-2
730,20730,63.75,10,True,12,38,25,16
731,20731,34.80999999999997,10,False,21,61,-13,27
732,20732,66.05000000000003,10,True,22,68,42,4
733,20733,30.579999999999973,10,False,17,38,-11,14
734,20734,33.25000000000001,10,False,13,42,-1,30
735,20735,67.49999999999999,10,True,20,44,31,15
736,20736,63.750000000000014,10,True,15,43,15,27
737,20737,33.80000000000002,10,False,17,47,44,0
738,20738,66.79999999999995,10,True,15,44,11,30
739,20739,34.900000000000006,10,False,25,61,-8,26
740,20740,64.75000000000001,10,True,16,52,36,6
741,20741,34.29999999999999,10,False,16,44,-9,24
742,20742,34.899999999999984,10,False,15,49,-21,30
743,20743,35.14999999999999,10,False,21,45,-6,24
744,20744,31.830000000000013,10,False,14,46,-3,17
745,20745,65.53,10,True,22,62,40,13
746,20746,64.99999999999999,10,True,18,51,19,21
747,20747,61.08000000000001,10,True,15,46,12,10
748,20748,33.89999999999996,10,False,23,59,-11,30
749,20749,62.79999999999998,10,True,15,48,20,22
750,20750,63.99999999999999,10,True,18,54,9,26
751,20751,23.910000000000036,8,False,12,42,39,-2
752,20752,33.499999999999986,10,False,12,33,-11,26
753,20753,33.249999999999986,10,False,20,53,-12,18
754,20754,29.9,10,False,13,38,-11,28
755,20755,61.13000000000002,10,True,10,45,18,8
756,20756,60.890000000000015,10,True,15,52,21,12
757,20757,60.75,10,True,16,43,25,-2
758,20758,62.17999999999999,10,True,14,50,10,24
759,20759,37.099999999999994,10,False,24,63,0,28
760,20760,18.700000000000003,7,False,8,25,50,0
761,20761,30.05000000000001,10,False,16,42,-7,5
762,20762,33.849999999999994,10,False,15,48,-4,30
763,20763,31.710000000000008,10,False,18,42,-21,28
764,20764,65.19999999999999,10,True,12,40,35,26
765,20765,32.150000000000006,10,False,16,45,-3,14
766,20766,62.63999999999999,10,True,21,57,14,15
767,20767,32.69000000000001,10,False,20,48,-5,30
768,20768,36.379999999999974,10,False,24,67,-1,26
769,20769,34.149999999999984,10,False,15,49,0,21
770,20770,35.400000000000006,10,False,19,52,-7,24
771,20771,61.5,10,True,14,31,19,22
772,20772,60.42999999999999,10,True,14,36,2,19
773,20773,64.64999999999999,10,True,17,47,17,25
774,20774,62.83999999999998,10,True,17,50,1,20
775,20775,34.799999999999976,10,False,17,46,-2,30
776,20776,35.42000000000002,10,False,19,57,28,-1
777,20777,65.3,10,True,14,42,34,16
778,20778,63.900000000000006,10,True,10,35,1,30
779,20779,63.96000000000001,10,True,21,55,18,18
780,20780,33.38,10,False,19,44,-4,25
781,20781,17.550000000000004,7,False,10,31,29,-1
782,20782,59.180000000000014,10,True,14,38,16,14
783,20783,31.2,10,False,13,50,-5,24
784,20784,30.950000000000014,10,False,13,43,-11,24
785,20785,63.139999999999986,10,True,18,59,7,26
786,20786,65.55,10,True,16,49,12,24
787,20787,33.63,10,False,21,44,-13,21
788,20788,34.20000000000002,10,False,21,59,-11,14
789,20789,63.30000000000001,10,True,14,40,6,26
790,20790,63.20000000000002,10,True,18,41,3,24
791,20791,60.500000000000014,10,True,16,43,-1,14
792,20792,33.949999999999974,10,False,16,41,-11,30
793,20793,65.4,10,True,15,53,29,24
794,20794,63.300000000000004,10,True,18,47,17,18
795,20795,64.79999999999998,10,True,16,54,12,20
796,20796,30.350000000000016,10,False,14,38,-3,7
797,20797,33.04999999999999,10,False,13,45,-2,27
798,20798,33.41999999999998,10,False,20,50,-13,19
799,20799,33.95,10,False,17,45,-7,30
800,20800,61.079999999999984,10,True,15,45,28,20
801,20801,65.8,10,True,15,41,7,29
802,20802,62.64999999999999,10,True,18,47,7,26
803,20803,62.05000000000001,10,True,20,47,4,9
804,20804,64.09,10,True,20,49,11,23
805,20805,62.900000000000006,10,True,13,43,38,14
806,20806,63.099999999999994,10,True,13,36,24,23
807,20807,63.300000000000026,10,True,15,53,12,10
808,20808,34.800000000000026,10,False,18,50,0,28
809,20809,30.89999999999999,10,False,14,41,-5,30
810,20810,61.52000000000001,10,True,21,59,2,24
811,20811,62.05000000000001,10,True,15,48,16,25
812,20812,62.2,10,True,15,49,18,25
813,20813,13.279999999999998,6,False,7,21,47,0
814,20814,34.44999999999998,10,False,15,45,0,29
815,20815,26.500000000000025,8,False,14,43,-1,18
816,20816,33.35000000000001,10,False,18,50,-12,26
817,20817,60.020000000000024,10,True,17,45,1,5
818,20818,63.499999999999986,10,True,12,42,28,21
819,20819,32.41,9,False,20,56,-8,21
820,20820,62.2,10,True,12,38,17,26
821,20821,24.45000000000004,8,False,13,39,32,0
822,20822,33.380000000000024,10,False,17,55,-7,7
823,20823,62.78,10,True,12,34,21,15
824,20824,64.15,10,True,11,34,13,29
825,20825,32.349999999999994,10,False,22,48,-23,30
826,20826,64.30000000000001,10,True,18,56,5,23
827,20827,63.05,10,True,11,35,24,24
828,20828,61.66000000000001,10,True,19,53,16,19
829,20829,62.29999999999998,10,True,18,51,13,22
830,20830,22.400000000000006,8,False,9,22,48,0
831,20831,33.63,10,False,23,54,-10,22
832,20832,63.10000000000001,10,True,14,51,22,16
833,20833,62.099999999999994,10,True,12,31,25,26
834,20834,32.82000000000003,10,False,22,63,0,19
835,20835,61.459999999999994,10,True,17,44,5,15
836,20836,33.049999999999976,10,False,13,44,-3,26
837,20837,62.609999999999985,10,True,18,46,18,24
838,20838,33.69999999999999,10,False,18,56,-2,23
839,20839,60.94000000000001,10,True,16,49,3,15
840,20840,61.93000000000001,10,True,16,53,5,12
841,20841,63.89999999999999,10,True,16,55,9,25
842,20842,63.89999999999998,10,True,15,51,22,18
843,20843,63.900000000000006,10,True,17,48,19,15
844,20844,65.89999999999998,10,True,18,59,22,16
845,20845,33.94999999999999,10,False,15,45,-6,30
846,20846,61.44999999999999,10,True,15,36,36,22
847,20847,33.79000000000003,10,False,19,53,-9,11
848,20848,34.30000000000001,10,False,11,34,50,0
849,20849,62.55,10,True,15,56,12,22
850,20850,67.24999999999996,10,True,16,55,21,26
851,20851,29.349999999999994,9,False,12,36,0,30
852,20852,65.59999999999998,10,True,13,38,41,24
853,20853,35.649999999999984,10,False,20,47,0,25
854,20854,31.950000000000028,10,False,13,39,0,18
855,20855,32.15999999999999,10,False,17,44,-18,26
856,20856,31.69999999999999,10,False,18,40,-8,23
857,20857,32.71000000000001,10,False,21,60,-12,23
858,20858,30.900000000000023,10,False,17,51,-13,17
859,20859,34.43,10,False,22,52,-2,20
860,20860,61.599999999999994,10,True,13,34,7,12
861,20861,34.13,10,False,16,48,-8,25
862,20862,22.85,8,False,10,24,38,0
863,20863,35.00000000000002,10,False,22,62,14,0
864,20864,33.60999999999997,10,False,15,54,-11,27
865,20865,37.600000000000016,10,False,29,68,0,16
866,20866,32.05000000000001,10,False,19,49,-12,24
867,20867,33.949999999999996,10,False,13,44,-8,26
868,20868,31.360000000000035,10,False,14,48,21,0
869,20869,63.54999999999998,10,True,14,49,16,22
870,20870,63.94999999999999,10,True,13,38,20,18
871,20871,30.98999999999999,10,False,20,43,-11,17
872,20872,34.75000000000001,10,False,25,67,-4,17
873,20873,65.45,10,True,17,52,5,22
874,20874,31.979999999999986,10,False,16,49,-6,18
875,20875,34.16000000000002,10,False,22,62,0,5
876,20876,63.63999999999998,10,True,15,49,5,28
877,20877,63.30000000000001,10,True,13,40,24,26
878,20878,33.4,10,False,17,44,-5,20
879,20879,35.88,10,False,15,39,0,30
880,20880,62.80999999999999,10,True,17,40,12,17
881,20881,63.750000000000014,10,True,16,53,1,27
882,20882,32.180000000000014,10,False,15,45,-15,11
883,20883,62.999999999999964,10,True,22,53,15,4
884,20884,63.34999999999998,10,True,19,52,29,18
885,20885,63.0,10,True,14,40,11,18
886,20886,61.14999999999998,10,True,17,42,2,0
887,20887,62.05000000000001,10,True,14,38,16,18
888,20888,33.879999999999995,10,False,17,54,-9,30
889,20889,32.28,10,False,15,42,-2,19
890,20890,31.699999999999985,10,False,18,46,-7,30
891,20891,61.45,10,True,18,55,1,19
892,20892,63.92999999999997,10,True,18,56,13,26
893,20893,37.50999999999998,10,False,22,45,-1,23
894,20894,32.349999999999994,10,False,20,47,-19,21
895,20895,66.40000000000002,10,True,23,63,21,3
896,20896,64.10000000000001,10,True,19,56,32,22
897,20897,19.75000000000003,7,False,11,34,11,-1
898,20898,62.5,10,True,12,45,2,30
899,20899,30.549999999999972,10,False,13,35,-15,30
900,20900,38.24999999999995,10,False,18,52,-2,24
901,20901,65.39999999999998,10,True,23,60,24,27
902,20902,62.55000000000001,10,True,17,43,12,27
903,20903,32.260000000000005,10,False,17,48,0,30
904,20904,15.149999999999999,6,False,5,21,50,-3
905,20905,62.05999999999999,10,True,18,55,17,22
906,20906,33.57000000000003,10,False,24,67,-8,9
907,20907,34.24999999999999,10,False,21,55,-4,19
908,20908,60.7,10,True,13,41,13,18
909,20909,34.68,10,False,13,41,50,-1
910,20910,63.60000000000002,10,True,17,48,6,20
911,20911,24.650000000000013,8,False,11,34,36,-2
912,20912,33.23000000000001,10,False,22,57,-5,14
913,20913,59.25000000000003,10,True,15,52,4,0
914,20914,65.6,10,True,14,44,16,25
915,20915,33.5,10,False,14,39,-20,16
916,20916,61.77999999999999,10,True,16,59,11,15
917,20917,64.54999999999998,10,True,12,39,12,20
918,20918,64.70000000000002,10,True,18,59,30,1
919,20919,63.69999999999999,10,True,14,42,22,22
920,20920,60.8,10,True,12,47,13,9
921,20921,65.39999999999999,10,True,21,61,31,14
922,20922,33.7,10,False,13,45,-1,18
923,20923,66.54999999999997,10,True,20,55,31,22
924,20924,18.95000000000001,7,False,9,29,33,0
925,20925,63.15000000000002,10,True,18,63,35,3
926,20926,32.699999999999996,10,False,16,52,-1,21
927,20927,30.619999999999983,10,False,17,49,-14,27
928,20928,59.120000000000005,10,True,15,44,3,21
929,20929,65.35,10,True,14,46,4,27
930,20930,62.080000000000005,10,True,14,40,2,15
931,20931,32.38,10,False,12,37,-4,27
932,20932,34.05,10,False,16,50,-7,9
933,20933,63.05999999999999,10,True,17,46,36,14
934,20934,61.7,10,True,14,38,13,16
935,20935,32.15000000000001,10,False,13,38,-6,30
936,20936,66.5,10,True,14,42,23,30
937,20937,35.3,10,False,20,58,-2,30
938,20938,62.65000000000001,10,True,23,65,4,9
939,20939,32.299999999999976,10,False,15,36,-3,30
940,20940,67.24999999999999,10,True,14,47,9,30
941,20941,31.650000000000045,10,False,19,55,-1,9
942,20942,35.409999999999954,10,False,23,62,-7,30
943,20943,59.15,10,True,12,50,9,24
944,20944,34.11,10,False,21,56,-1,23
945,20945,30.90000000000002,10,False,15,48,-3,9
946,20946,31.800000000000022,10,False,12,40,31,0
947,20947,62.8,10,True,15,49,36,15
948,20948,63.349999999999994,10,True,16,50,16,16
949,20949,64.37,10,True,23,64,11,7
950,20950,31.74999999999999,10,False,18,54,-1,19
951,20951,58.95000000000001,10,True,14,39,15,12
952,20952,31.500000000000014,10,False,21,47,-2,22
953,20953,31.350000000000023,10,False,13,41,25,0
954,20954,59.31,10,True,15,39,-1,21
955,20955,33.64999999999999,10,False,20,52,-3,18
956,20956,60.30000000000001,10,True,15,44,16,16
957,20957,66.25000000000003,10,True,26,61,2,26
958,20958,61.38,10,True,15,46,13,13
959,20959,62.459999999999994,10,True,18,47,12,20
960,20960,32.31,10,False,15,47,-10,28
961,20961,33.18000000000001,10,False,18,42,-3,21
962,20962,68.7,10,True,19,52,16,26
963,20963,33.180000000000014,10,False,15,44,-5,12
964,20964,61.89999999999998,10,True,19,53,17,13
965,20965,63.89999999999998,10,True,15,47,33,19
966,20966,64.50000000000001,10,True,16,54,16,23
967,20967,65.55000000000001,10,True,21,58,8,12
968,20968,30.949999999999985,10,False,16,41,-23,19
969,20969,65.56,10,True,27,62,11,23
970,20970,37.99999999999998,10,False,19,52,-2,24
971,20971,62.2,10,True,14,34,11,27
972,20972,63.54999999999999,10,True,19,46,26,25
973,20973,59.15,10,True,11,34,4,9
974,20974,33.39999999999999,10,False,13,45,-16,24
975,20975,64.05,10,True,21,51,26,9
976,20976,66.63999999999996,10,True,28,67,3,27
977,20977,31.40000000000002,10,False,20,47,-27,15
978,20978,33.33000000000001,10,False,17,53,-5,24
979,20979,62.05999999999999,10,True,15,47,21,17
980,20980,32.150000000000006,10,False,23,46,-4,15
981,20981,63.31000000000002,10,True,16,48,26,14
982,20982,64.04999999999998,10,True,12,39,33,22
983,20983,62.209999999999994,10,True,18,46,28,13
984,20984,61.960000000000015,10,True,20,46,15,13
985,20985,30.15,10,False,14,48,-2,22
986,20986,33.949999999999996,10,False,13,39,-2,30
987,20987,62.14999999999999,10,True,17,50,18,14
988,20988,63.099999999999994,10,True,13,45,23,30
989,20989,34.8,10,False,14,42,-11,26
990,20990,33.34,10,False,22,56,-3,22
991,20991,61.92999999999999,10,True,17,44,12,19
992,20992,32.74000000000002,10,False,25,66,-5,20
993,20993,32.54999999999999,10,False,12,44,0,11
994,20994,61.18000000000001,10,True,15,42,4,11
995,20995,59.999999999999986,10,True,14,38,14,24
996,20996,62.249999999999986,10,True,12,34,18,23
997,20997,62.69999999999999,10,True,15,45,10,22
998,20998,58.90000000000002,10,True,18,53,5,8
999,20999,32.75,10,False,14,47,0,29
